CPTS-489,CPTS-322
CPTS-487,CPTS-321
CPTS-487,CPTS-322
CPTS-486,CPTS-215 | CPTS-223 | CPTS-233
CPTS-486,CPTS-485
CPTS-485,CPTS-215 | CPTS-223 | CPTS-233
CPTS-484,CPTS-322
CPTS-481,CPTS-223   
CPTS-481,CPTS-224 | CPTS-360
CPTS-479,CPTS-223 | CPTS-233
CPTS-478,CPTS-322
CPTS-476,CPTS-322
CPTS-475,CPTS-215 | CPTS-223 | CPTS-233
CPTS-471,CPTS-350
CPTS-471,CPTS-223 | CPTS-233
CPTS-466,CPTS-360
CPTS-464,CPTS-223 | CPTS-233 | CPTS-234
CPTS-460,CPTS-360
CPTS-455,CPTS-360 | CPTS-370 | EE-234
CPTS-453,MATH-220 | MATH-225 | MATH-230
CPTS-452,CPTS-317
CPTS-452,CPTS-355
CPTS-451,CPTS-215 | CPTS-223 | CPTS-233
CPTS-443,CPTS-223 | CPTS-233
CPTS-442,CPTS-223
CPTS-442,CPTS-224 | CPTS-360
CPTS-442,MATH-220
CPTS-440,CPTS-223 | CPTS-233
CPTS-438,CPTS-223 | CPTS-233
CPTS-438,CPTS-224
CPTS-438,MATH-172 | MATH-182
CPTS-434,CPTS-121 | CPTS-131
CPTS-434,EE-221
CPTS-430,MATH-315
CPTS-430,CPTS-121 | CPTS-131 | MATH-300
CPTS-428,CPTS-327
CPTS-427,CPTS-327
CPTS-423,CPTS-421
CPTS-421,CPTS-321
CPTS-421,CPTS-322
CPTS-421,CPTS-360 | CPTS-370
CPTS-415,CPTS-215 | CPTS-223 | CPTS-233
CPTS-411,CPTS-215 | CPTS-223 | CPTS-233
CPTS-401,CPTS-215 | CPTS-223 | CPTS-233
CPTS-370,CPTS-223
CPTS-370,CPTS-260 | EE-234
CPTS-360,CPTS-223
CPTS-360,CPTS-260 | EE-234
CPTS-355,CPTS-223 | CPTS-233
CPTS-350,CPTS-215 | CPTS-223 | CPTS-233
CPTS-350,CPTS-317
CPTS-327,CPTS-223 | CPTS-233
CPTS-327,CPTS-260 | EE-234
CPTS-327,CPTS-360 | CPTS-370
CPTS-327,MATH-216
CPTS-323,CPTS-223 | CPTS-233
CPTS-323,CPTS-322
CPTS-322,CPTS-215 | CPTS-223 | CPTS-233
CPTS-321,CPTS-223 | CPTS-233
CPTS-317,MATH-216
CPTS-317,CPTS-122 | CPTS-132
CPTS-315,CPTS-215 | CPTS-223 | CPTS-233
CPTS-260,CPTS-223 | CPTS-233
CPTS-233,MATH-216
CPTS-233,CPTS-132
CPTS-224,CPTS-122 | CPTS-132
CPTS-223,CPTS-122
CPTS-223-216
CPTS-215,CPTS-122 | CPTS-132
CPTS-132,CPTS-131
CPTS-131,MATH-108 | MATH-171 | MATH-172 | MATH-182 | MATH-201 | MATH-202 | MATH-206 | MATH-220
CPTS-131,CPTS-111
CPTS-122,CPTS-121
CPTS-121,MATH-108 | MATH-171 | MATH-172 | MATH-182 | MATH-201 | MATH-202 | MATH-206 | MATH-220
CPTS-121,CPTS-111
CPTS-111,MATH-101
CPTS-111,MATH-103
CPTS-302,CPTS-122 | CPTS-132 | CPTS-121 EE-261 | CPTS-131 EE-261
# CPTS-302,((CPTS OR CPTS) OR (CPTS OR CPTS AND EE)),((122 OR 132) OR (121 OR 131 AND 261))
